CPU_Total,CPU_P1,CPU_P2,CPU_P3,CPU_P4,Disk_wrVolume,Disk_wraccessVolume,Load_1min,Load_5min,Load_15min,Mem_Avail,Mem_freeTotal,Ping_Time(ms),Ping_Min(ms),Ping_Max(ms),Ping_PacketLoss,Traffic_inVolume,Traffic_outVolume,Class
3,4,2,4,2,2135651.94,35.3994,0.2867,0.2817,0.2133,6091472896,8648501248,17.5,8.8333,41.1667,0,1193726.062,946729.5966,TWM
3.8333,4.6667,2.3333,4.6667,2.3333,2499494.823,34,0.225,0.265,0.21,6089537536,8648583851,13.2333,7.3333,26.1667,0,1178834.23,941399.5966,TWM
3.5,4,2.5,4,2.5,1414645.237,30.6006,0.145,0.23,0.1983,6087664299,8648735403,16.3,7,35,0,1211408.721,941536.8068,TWM
3,4,2,4,2,2228231.38,32.0012,0.195,0.22,0.195,6085480448,8648585899,15.4,7.8333,31,0,1163893.049,946766.5966,TWM
3,4,2,4,2,2063970.71,32.5994,0.4917,0.3033,0.2217,6083502080,8648622763,13.7167,7.3333,27.8333,3.3333,1173336,931436,TWM
3,4,2,4,2,2158579.7,35.8979,0.455,0.325,0.2367,6080147456,8647282005,13.9667,7.8333,22.8333,0,1100742.172,941944.8238,TWM
3,4,2,4,2,2326540.3,54.1021,0.3667,0.3217,0.24,6093419179,8662581931,15.0333,7.5,33.5,0,1210880.262,946691.035,TWM
3.5,4,2.5,4,2.5,2118045.29,32.4006,0.2883,0.3083,0.24,6085337771,8656540331,53.5667,22.6667,100,0,1111322.066,946731.6411,TWM
3,4,2,4,2,2203238.4,32.6,0.2467,0.2917,0.2383,6080309248,8653526357,22.5667,13.8333,43.5,0,1166721.467,936136.3589,TWM
3,4,2,4,2,2133153.576,33.0925,0.3083,0.2967,0.2433,6078803968,8654043819,24.1333,6,69.5,0,1188025.967,946660,TWM
3.1667,4.1667,2,4.1667,2,2149624.024,33.8075,0.4167,0.3283,0.2583,6072226475,8649489749,12.2667,5.3333,30.3333,0,1084922.341,925653.2673,TWM
3.1667,4.1667,2,4.1667,2,2128691.2,33.6,0.4117,0.34,0.265,6067539968,8646816427,21.4,6.8333,50.6667,0,1197199.725,951938.8739,TWM
3.1667,4.1667,2,4.1667,2,1901882.273,29.3973,0.3167,0.33,0.2667,6065991680,8647303851,14.7667,6,33,0,1227253.684,936030.958,TWM
3.1667,4,2.1667,4,2.1667,2079956.18,28.5015,0.2517,0.3067,0.2633,6063455573,8646794581,15.8333,6.5,38.8333,0,1198378.816,946836.042,TWM
3.5,4,2.5,4,2.5,2144958.347,33.4012,0.235,0.2917,0.26,6061049856,8646408192,21.4667,5.5,65.5,0,1067520.315,941351.6176,TWM
3.6667,4.5,2.1667,4.5,2.1667,2129100.8,34.1,0.245,0.285,0.2617,6074966699,8662347093,20.2,5.3333,59.8333,0,1156710.116,941303.2704,TWM
3,4,2,4,2,1651499.82,53.4988,0.235,0.27,0.2583,6070882987,8660297045,14.0333,6,35.5,0,1191296.545,946710.5014,TWM
3,4,2,4,2,2224135.38,32.0012,0.1983,0.2517,0.2533,6066873003,8658311168,13.5,5.5,34.6667,0,1061985.237,925705.2422,TWM
